SEX,EDUCATION,MARRIAGE,PAY,BILL_AMT,PAY_AMT,age_disc,limit_bal_disc_8,default payment next month
1,2,2,-2,11331.33333,10974.33333,0,1,0
1,1,2,-0.833333333,4418.333333,3940.166667,0,0,0
1,1,2,0.5,8030.666667,1197.166667,0,0,0
2,2,2,0,17502,625.3333333,0,1,1
1,1,2,0.5,132378.8333,14500,1,1,0
2,2,1,1.333333333,10325,686.8333333,0,0,0
2,1,1,-0.833333333,3506.333333,4078.166667,4,2,0
1,2,1,0.333333333,68553.83333,2711.166667,1,1,0
1,1,2,0,42754.66667,10500,0,0,0
1,1,2,-0.833333333,790.6666667,756,2,2,0
2,2,1,0,161936.8333,22200,3,2,0
2,3,2,0,11678.66667,1450,0,0,0
1,1,1,0,37163.33333,5898.166667,1,1,0
2,1,2,0,95901.16667,3760,1,1,0
2,3,2,0,169693.3333,6298,0,1,0
1,3,1,4,134241.8333,10878,2,1,1
1,3,1,0.833333333,13314,633.3333333,3,0,0
1,1,2,1.666666667,27099.33333,1358.333333,2,0,0
1,2,2,0,566,440,0,0,0
1,3,1,-0.833333333,606.1666667,396,2,2,0
2,1,1,0.333333333,153157,6641.666667,1,1,0
2,2,1,0,25050.66667,1666.666667,2,0,0
2,1,2,0,89889.83333,3516.666667,0,0,0
1,1,2,-2,10511.66667,10324,2,2,0
1,2,1,0.5,51681.5,9317.666667,0,0,0
2,2,1,0.333333333,78825.16667,4108.666667,1,0,0
2,2,2,0,28559.83333,1132.5,0,0,0
1,2,2,0,30034.83333,3166.666667,1,2,0
2,1,2,-1,1963.333333,1974.333333,0,2,0
2,2,2,-0.166666667,8964.5,5191.5,0,0,0
2,1,2,-1.5,-1928.166667,0,0,0,1
1,1,2,-1.166666667,12.83333333,12.83333333,0,2,0
1,3,1,2,68429.16667,2416.666667,3,0,1
1,1,2,-0.5,2604,1000.666667,0,0,0
1,2,2,0.833333333,36747.16667,1083.333333,0,0,0
2,2,2,0,13985.66667,1152.166667,0,0,0
2,2,1,0.333333333,53926.5,1466.666667,0,0,0
1,1,2,-0.166666667,19710.16667,14031.83333,1,1,0
2,3,2,-0.166666667,21581.16667,4833.333333,1,0,0
2,1,1,0,96540.5,37091.66667,2,3,0
2,2,1,0,37073.83333,1806.166667,0,0,1
1,2,2,-0.166666667,8484,892.1666667,0,0,0
2,2,1,0.833333333,15391.83333,933.3333333,1,0,1
2,1,2,-0.666666667,27257.66667,33214.66667,1,2,0
2,3,2,2,197097,5997.333333,2,1,1
2,2,1,0,9623.666667,2899.5,1,0,0
2,2,2,3.166666667,20965.33333,293.3333333,1,0,0
1,1,2,0,58956.66667,6736.5,1,2,0
2,1,2,0.666666667,21669.66667,1125.333333,0,0,1
2,1,2,-1,7642.333333,3813.5,0,1,0
2,1,2,-0.333333333,11373.16667,6344.5,0,1,0
1,2,1,-0.333333333,14145,4418.5,1,0,0
2,1,2,1.833333333,38126.5,1355.333333,0,0,1
2,2,1,-2,269.3333333,269.3333333,1,1,0
2,1,2,-0.166666667,17251.83333,4127.666667,0,0,0
2,1,1,-1.5,1076.166667,3643.5,1,3,0
2,3,2,0.833333333,19642.33333,483.8333333,0,0,1
2,1,1,-2,125,0,1,1,0
1,1,2,0.666666667,21812,6383.333333,1,1,0
2,1,2,-0.833333333,10706,8306.5,0,1,0
1,2,2,0,114815.6667,4858.666667,0,0,0
2,2,1,0,200463.1667,6250,2,2,0
1,3,1,-0.333333333,16490.16667,5256.333333,2,0,0
1,1,1,-1,505.5,837.1666667,2,0,0
2,2,1,-1,1609.5,1164.666667,2,1,1
2,2,2,0,65234.5,2306.333333,0,0,1
2,1,1,-1.333333333,3243.666667,1811.333333,2,2,0
1,1,2,-0.5,69996.5,17330.83333,0,1,0
2,1,1,-0.666666667,397.3333333,1979.5,1,1,1
2,3,1,0,35990.83333,1400.666667,2,0,0
1,2,2,0.333333333,17267.16667,1415.5,1,0,0
1,2,2,1.333333333,333803,9281.666667,0,3,0
1,3,1,-0.5,585,415,2,0,0
2,2,1,-1.5,-946,0,1,1,1
1,2,2,0.333333333,78468.16667,3250,1,0,0
2,3,0,0,75641.16667,4492.333333,1,0,0
2,1,2,-1.333333333,1015.333333,778,1,2,0
2,1,1,1,114260.8333,5350,1,2,1
2,3,2,0,334236.3333,12203.83333,2,2,0
2,2,2,0,238552.5,12430.33333,1,2,0
2,2,2,0,72878,6977.666667,1,2,0
2,3,2,1,40661.33333,5719.5,1,0,1
2,1,2,0,128683.6667,8091.5,0,1,0
1,3,1,-1.166666667,1397.333333,853.1666667,2,2,0
1,2,1,0,18076.83333,1260.666667,1,0,0
1,2,2,0.333333333,33750.16667,1512.333333,0,0,1
2,3,2,0.5,10652,855.5,0,0,0
2,1,2,0,22155,1122,0,0,0
1,2,2,0.833333333,15776,2200,0,0,1
1,2,1,-0.666666667,32924.66667,8656.333333,0,0,0
1,2,2,1,138009.6667,5814.5,1,1,1
2,2,1,0,29299,989.1666667,1,0,0
1,1,2,-1,6975.333333,6048.833333,1,0,0
2,2,2,0,66630,2104.166667,0,1,0
2,1,2,-1.666666667,3021.666667,3331.5,1,1,0
2,3,1,0,218871.1667,8499.5,2,1,1
2,2,3,0,19309,2266.166667,2,1,1
2,1,2,0,7406,380.8333333,0,0,0
1,1,2,0,40207.33333,2133.333333,1,0,0
2,2,2,0,28205.66667,1325,0,0,0
2,1,2,0,2439,969.6666667,1,1,0
2,1,2,1,102.1666667,99.16666667,1,0,0
2,2,2,-0.333333333,13314.83333,986.3333333,1,0,0
2,2,1,-0.833333333,10569.5,1954.5,5,1,0
2,2,2,0,32749.66667,1376.666667,0,0,0
1,1,2,0.333333333,42667.5,2538.333333,0,2,0
1,3,1,0,19645.16667,1171.166667,2,0,0
2,2,2,0.833333333,40143.66667,1677,0,0,0
1,2,2,0,22526.66667,1342.666667,0,0,0
2,2,2,0,105239.8333,4173.5,0,1,1
2,1,2,-0.166666667,56231.83333,22051.83333,0,1,0
2,2,2,-0.833333333,5671.666667,2470.833333,0,3,0
1,2,1,0,28925.33333,1140.333333,0,0,0
2,2,1,-0.833333333,4515.833333,4583.5,2,1,0
2,2,1,-0.833333333,13701.16667,11443.5,1,1,0
2,3,1,-1.333333333,10361.66667,0,2,0,0
1,1,1,0.333333333,188240,7003.333333,2,1,1
2,1,2,0,85535.16667,26745,0,4,0
1,2,2,0,33700.16667,2752,0,0,0
2,1,1,-0.5,10546.16667,7357,1,1,0
2,1,2,-2,8955.833333,8658.666667,1,1,0
2,1,2,-1,5842.333333,4826.166667,1,0,0
2,2,1,-1.166666667,1184,210.6666667,0,1,0
1,3,2,0.333333333,8689.333333,655.3333333,0,0,0
2,3,2,0,59630.16667,1664.333333,2,0,1
2,1,2,0,34662.5,1533.333333,2,0,0
1,2,2,1,12286.16667,1105.166667,0,0,1
1,3,2,0,30034.83333,1614.333333,1,0,0
1,1,1,0,735.6666667,300,1,0,0
2,1,2,-1.5,0,0,3,2,1
2,2,2,0,13478.5,1920.333333,1,1,0
2,2,2,-2,0,0,0,2,1
2,2,2,0,44292.16667,4707.833333,1,0,0
1,1,1,-0.5,4673.166667,4654.5,1,3,1
2,1,2,-1,456,316,0,0,0
1,3,1,0,35298.5,1167.333333,1,0,0
2,2,1,0,100668.5,4483.333333,1,1,0
2,1,2,-0.5,1074.666667,527.3333333,0,0,0
1,2,1,-0.333333333,81099,24035.66667,2,2,0
2,3,2,0,126701.8333,4532,0,1,0
2,1,2,0,53863.66667,3366.333333,0,0,0
2,3,1,0,111252.8333,4833.333333,1,1,0
2,1,1,-1,35173.16667,20078.33333,2,1,0
1,1,2,0.333333333,59828.33333,2300.666667,1,1,0
2,2,1,0,138029.8333,4957.666667,2,3,0
2,2,2,0.333333333,67273,2201.666667,0,0,1
2,2,1,0,9349.5,1049.166667,2,1,0
1,1,2,-1,-56043.16667,57956.5,1,2,1
2,2,2,-1.5,0,0,0,0,1
1,2,1,2.166666667,2162,333.3333333,2,0,0
1,2,2,0.333333333,9474.666667,911.6666667,0,0,1
1,1,2,-1.5,0,250,0,0,0
1,1,2,0,163159.6667,6070.833333,1,1,0
2,2,1,-1,1294.166667,1452.5,0,0,0
2,2,1,0,143074.6667,5451.5,1,1,0
2,1,1,0,45606.66667,1953,1,2,0
1,1,2,-0.666666667,7566.666667,5466.5,1,2,1
1,2,2,0,77141.83333,2550.5,1,0,0
2,1,2,-2,0,27000,1,3,0
2,3,1,0,25716.83333,1267.666667,1,0,0
2,1,2,0.333333333,16407.83333,1916.666667,0,0,1
2,1,2,-0.5,3039.333333,2154.5,0,1,0
2,2,2,-2,2143.333333,2020.666667,0,0,0
2,2,1,-1,7921.5,6175.333333,1,3,0
2,2,1,-1.166666667,869.1666667,869.1666667,0,2,0
1,3,1,2.666666667,12143.83333,1483.333333,3,0,1
2,1,2,-1,10985.33333,7851.833333,0,0,0
2,2,1,-0.666666667,3525.5,3192.166667,1,3,0
2,2,1,0,137944.3333,5333.333333,1,1,0
1,1,2,0.333333333,13174.5,1766.666667,1,0,0
2,3,1,0.833333333,55507.83333,2714.333333,2,1,1
1,1,2,0,32417.16667,811.8333333,0,0,0
1,2,2,0,28588.66667,1335.5,0,0,1
2,2,2,0,50636.16667,2250,1,0,0
2,3,1,-1,337.5,414,3,2,0
2,3,1,1.166666667,35586,1228.666667,2,0,0
1,2,2,-1.5,-2,0,0,1,0
1,2,2,0.833333333,51891,1725.666667,0,0,1
2,1,2,0,153856.1667,15024.5,0,2,0
1,2,2,-0.166666667,5275,1836.5,0,0,0
2,2,1,-0.666666667,9221.166667,1958.333333,0,1,1
2,2,2,0,95901.5,9500,1,2,0
1,2,2,-0.333333333,26783.16667,8668.833333,2,1,0
2,2,1,0.5,562.5,320.8333333,2,1,1
2,2,1,1.666666667,28347,1685.166667,1,0,1
1,2,1,-1.666666667,22927.66667,27397.66667,3,2,0
1,1,1,2,104009.1667,4283.333333,1,1,0
2,2,1,-0.166666667,7898.333333,8566.666667,1,1,1
2,2,2,0.333333333,11085.66667,1200,1,0,1
2,1,2,0.5,16044.33333,5116,0,0,0
2,2,1,-1.166666667,13331.33333,13331.33333,2,3,0
1,1,2,0,19457.83333,917.1666667,0,0,0
2,1,2,0,152145.8333,6139.333333,0,1,0
2,1,2,0,158850,7333.333333,0,2,0
2,2,2,-2,65,0,1,1,0
2,2,1,0,39013.33333,1767.833333,1,0,1
2,1,2,-0.833333333,2831,3367.333333,1,0,0
2,2,2,-2,61.33333333,359.8333333,0,1,0
1,2,2,-0.166666667,3141.166667,565,1,0,0
2,1,2,0,12778.16667,5175.833333,0,1,0
1,1,1,-0.333333333,153467,47483.83333,1,1,0
2,1,2,0,122474.5,4451.666667,0,1,0
2,1,2,-0.833333333,1638.666667,4083.333333,0,1,0
2,2,2,-0.5,3203.833333,2329,0,0,0
2,2,2,0,45576.5,2166.666667,0,0,1
2,2,2,0,139987.3333,5750,1,1,0
2,2,2,0,19648.33333,1010.666667,0,0,1
1,1,2,-0.333333333,14430.33333,5307,0,0,0
1,1,1,-1,-4465.833333,28522.16667,1,1,0
1,1,2,-1.5,0,0,0,2,1
2,2,2,0,50525.33333,2007.5,2,0,0
1,3,1,1.333333333,18202.66667,1112.166667,3,0,0
1,2,1,-0.166666667,29546.33333,1463.5,2,1,1
2,2,2,0,120823.3333,4566.333333,0,1,0
1,2,2,0,180426.8333,10735,1,2,0
2,4,2,0,81276,3216.666667,0,0,0
1,1,1,-1,22947.83333,20277.66667,1,2,0
2,2,2,1.5,487775.5,12583.33333,0,3,1
2,2,2,0,72719.66667,2611.5,0,2,0
1,2,2,1.5,41476.5,914.1666667,1,0,0
1,1,1,-0.666666667,749.6666667,427.3333333,1,0,1
2,1,2,-2,552.3333333,512.1666667,1,1,0
2,2,1,-0.833333333,2606.666667,2676.833333,3,2,0
2,2,1,0,36383.66667,1708.5,4,0,0
1,2,2,0.833333333,2458.666667,275,0,0,0
1,1,1,-1.5,0,0,1,2,0
2,2,1,0.833333333,15555.16667,531.6666667,1,0,1
1,2,1,-0.666666667,13923,0,1,1,1
1,1,2,-1,10246.66667,19987.66667,0,1,0
2,1,2,1,42296,3440,1,0,0
1,3,3,0,23523.33333,2000,3,0,0
1,1,1,0,139364.3333,31577.16667,2,1,0
1,3,1,0,21045.33333,1336,3,0,0
1,2,1,0.833333333,22043,1248,2,0,0
2,1,2,-0.666666667,7504,5991,0,1,0
1,1,2,0,54577.5,4250,0,1,0
1,2,2,0,13991.83333,2721.166667,1,0,1
2,2,2,0,78729.83333,3416.666667,0,0,0
2,2,1,1,2732.833333,583.3333333,1,0,1
1,3,1,0,89732.16667,7950,1,1,0
2,2,2,0.166666667,4895.333333,649.8333333,0,1,1
1,2,2,-0.333333333,17875.16667,3017.166667,0,0,0
2,5,1,0,290242.3333,10633.33333,2,3,0
2,1,2,-1.166666667,13333.33333,13333.33333,0,0,0
1,3,1,0.833333333,69364,3905,5,0,1
1,2,1,0,157349.8333,6139,2,1,0
1,1,1,-0.666666667,431,21969.16667,0,2,1
1,1,1,-1.5,0,0,1,2,0
2,2,1,0,29159,8114,1,2,1
1,2,1,0,83905.66667,3346.333333,2,2,0
2,2,2,0,19728.16667,2750,0,1,0
1,1,1,-1.5,10500,4166.666667,3,2,0
2,1,2,0,143057.5,7266.666667,0,1,0
1,1,2,0,40130.5,856.8333333,1,0,0
2,2,2,-2,246.6666667,246.6666667,0,0,0
2,2,1,0,94543.16667,3867,0,1,0
2,2,2,2,117299.6667,3613.166667,0,0,0
1,1,2,-0.166666667,111151.1667,34105.66667,0,1,0
2,3,3,0,30834.5,1647.5,2,0,0
1,1,2,-0.5,1183,881.8333333,2,1,1
1,2,1,0,26923.83333,1490.333333,2,0,0
2,1,2,2,162469.1667,5085.333333,0,1,1
1,1,1,-2,15351.33333,15412.16667,3,1,0
2,2,1,-1,7978.166667,1000,0,0,0
1,1,1,0.5,411076.3333,10784.83333,1,3,0
2,1,2,0,60852.5,11266.83333,0,2,0
1,1,2,0,173955.3333,7137.166667,1,2,0
2,1,2,1.833333333,30938.16667,1368.166667,0,0,1
2,1,1,-1.333333333,42.83333333,86.16666667,1,1,0
2,1,1,-0.833333333,1933.333333,1935.166667,1,1,0
2,2,2,0.5,10722,1240.166667,0,1,1
2,3,1,-2,48748.16667,46618.83333,2,3,0
2,3,1,-1.5,4583.333333,940,1,0,0
2,1,2,-2,3881,3312,1,1,0
2,1,2,0.333333333,17449,1300,0,0,0
1,2,1,0,30069.5,2576.833333,2,0,0
2,1,2,-1.5,0,0,1,2,1
1,1,2,0.666666667,27776.83333,1434.5,0,0,0
2,1,2,0,160376,7026,0,3,0
2,2,2,-1,2955.5,1618.166667,1,1,0
1,2,1,1,102325.5,3416.666667,1,1,1
2,2,1,0,197503.5,7196.833333,0,3,0
2,2,1,-1.666666667,1877,0,1,0,0
2,3,2,1.333333333,13173.83333,1687.166667,2,0,1
2,1,2,-0.833333333,232.1666667,232.1666667,1,1,1
1,1,2,0,48900.16667,6106.833333,0,0,0
2,2,2,0,127105.5,4083.333333,1,1,0
2,2,2,0,77501.5,3100.166667,0,0,0
2,1,2,0,295478.5,10362,0,3,1
2,1,2,0,50715.33333,2259.5,0,0,0
2,1,1,0,165693.3333,6130.666667,1,4,0
1,3,1,-0.833333333,6116,4207.333333,3,2,0
2,2,1,1.833333333,226636.8333,7000,1,2,1
2,1,2,-0.666666667,2445.333333,108.3333333,0,0,0
1,3,1,0,61248.33333,2266.666667,1,0,0
2,1,1,0,39198.66667,1462.166667,0,0,0
2,1,2,0,56516.33333,8211.333333,0,0,1
1,2,2,-0.666666667,4670.666667,2771.666667,0,0,0
1,1,2,0.666666667,88510,3539.5,1,0,0
2,1,2,-0.833333333,689.5,689.5,0,0,0
2,1,2,0,121803,5678.333333,0,1,0
1,1,2,0,217674.1667,8572.666667,2,1,1
1,2,2,0,26778,1050,1,1,0
2,1,2,0,100194.1667,3216.666667,0,1,0
2,1,1,-0.666666667,13957.83333,5379.833333,3,1,0
1,4,1,0,28391.16667,2007.166667,2,1,0
2,3,1,0.333333333,76877.66667,4520.166667,0,1,0
1,1,1,-1.5,0,0,3,2,1
1,1,1,0.666666667,453090.3333,15166.66667,3,4,1
1,2,2,-0.166666667,155988.1667,28003.66667,1,2,0
2,1,2,-1.333333333,27027.5,1232.333333,0,1,0
1,2,2,0,55264.33333,10172,2,0,0
1,2,2,-0.166666667,20826.66667,2341.5,1,0,0
1,3,2,1.833333333,73326.33333,3000,1,0,0
1,1,2,-0.5,16534.33333,833.3333333,1,0,0
2,2,1,-1,8122,9895.5,2,1,0
1,2,1,-0.166666667,26097.83333,2467.833333,2,0,1
2,2,1,0,139749.3333,6004.833333,1,1,0
2,2,1,-1,4689.5,4777.833333,1,0,0
2,2,2,-0.333333333,41433.83333,19256,0,2,0
2,1,2,0,94149.5,24005.33333,0,1,0
2,3,3,-1,356.8333333,459.1666667,3,1,0
1,1,1,-0.166666667,201767.3333,7137,3,1,1
1,1,2,0,198030.1667,7524.5,1,1,1
1,2,2,0,23809.5,872.6666667,1,1,0
1,2,1,-0.166666667,50146.83333,16594.66667,1,3,0
2,1,1,-1,3245.166667,2455.166667,2,0,0
2,3,2,0,310738.3333,11314,1,3,1
2,2,2,0,269690.1667,8656.333333,2,3,0
1,2,1,-1,1927.166667,1846,1,1,0
1,3,1,1.166666667,32007,1583.333333,1,0,0
2,2,1,-1,3201.666667,3362,1,0,0
2,2,2,0,27943,1136.666667,0,0,0
1,1,2,0,32653,1311.5,2,0,0
2,2,1,0.333333333,63433,2489.166667,1,0,0
2,1,1,-0.333333333,458.5,383.5,1,3,0
1,1,2,-2,0,0,1,1,0
2,2,1,0.166666667,45803.33333,32194,1,1,0
1,2,2,1.333333333,138747.8333,6608.333333,0,1,1
2,2,2,0.166666667,28287.33333,1801,0,0,0
1,3,1,1.833333333,68645,2414.333333,2,0,0
2,2,1,-1,1699.666667,1636.333333,2,0,0
1,2,1,0,149033.1667,4847.666667,1,1,0
2,1,1,-1,8772.166667,7628,2,1,0
1,2,1,0,92703.83333,3843.166667,1,2,0
2,2,1,-0.833333333,670.6666667,670.6666667,1,1,1
2,1,1,-1,6331.666667,4977.5,1,2,0
2,2,2,-2,95.5,26.16666667,1,0,0
2,2,1,1.666666667,24034.5,768.3333333,2,0,0
1,2,2,0.333333333,111340,3686,0,2,0
2,2,2,-1,7704.666667,718,0,1,0
2,1,1,0,9829.333333,579.3333333,0,0,1
1,1,1,-1,389.3333333,708.3333333,2,0,0
2,3,2,0,199441.6667,7291.5,2,1,0
1,2,2,0.333333333,20648.66667,1744.166667,0,0,0
2,1,1,-1.166666667,303.1666667,295.1666667,2,1,0
1,1,1,0.666666667,19107,1323.166667,1,0,0
2,2,1,0.666666667,23075.16667,1366.666667,1,0,0
2,2,1,1.833333333,27123.33333,2083.333333,1,0,0
2,6,2,0,208195.1667,8250,2,1,0
2,1,1,0,17836.16667,833.3333333,1,0,1
1,6,1,-2,0,0,3,0,0
1,1,2,-1,533.3333333,467.5,1,1,0
2,2,2,-0.666666667,126928.8333,136515.5,2,3,0
2,2,2,0.333333333,37673.66667,1688,0,1,0
2,2,1,0.333333333,12637.5,800,0,0,0
1,1,2,-1.333333333,1888.333333,1741,0,0,0
1,2,1,-0.5,1085.666667,940.5,1,0,0
2,2,2,-1,240,240,1,0,1
1,1,2,-1,22045.16667,19348,0,2,0
1,2,2,2,31543.16667,1466.666667,0,0,1
2,2,2,0.333333333,17267.83333,823,0,0,0
1,3,1,-0.166666667,78675.66667,16621.66667,3,0,0
1,3,1,0,69186,3328.333333,1,0,0
1,2,1,0,18164.66667,1966.166667,2,0,0
2,2,2,0.5,9878.333333,767.8333333,0,0,0
2,1,1,0,104155,6500,1,2,0
2,1,1,0,18400.33333,1274.166667,1,0,0
2,2,2,0,39589.33333,16145.66667,0,3,0
1,1,2,-0.666666667,70799.83333,75805,0,2,1
2,2,1,0,83579.66667,4527.833333,2,1,1
2,1,2,0,71315.5,2933.333333,1,1,0
2,2,2,-1,3349.5,28651.5,0,1,0
1,2,2,0.833333333,19366.83333,750,0,0,0
2,2,1,0.666666667,163325,5116.666667,2,4,1
1,1,2,-1.166666667,707.5,716.3333333,0,2,0
